N,eps_H
-8.8080000000e+00,1.8306909743e+00
-8.8040000000e+00,1.8302427738e+00
-8.8000000000e+00,1.8297939975e+00
-8.7960000000e+00,1.8293446479e+00
-8.7920000000e+00,1.8288947274e+00
-8.7880000000e+00,1.8284442387e+00
-8.7840000000e+00,1.8279931841e+00
-8.7800000000e+00,1.8275415664e+00
-8.7760000000e+00,1.8270893880e+00
-8.7720000000e+00,1.8266366515e+00
-8.7680000000e+00,1.8261833595e+00
-8.7640000000e+00,1.8257295147e+00
-8.7600000000e+00,1.8252751196e+00
-8.7560000000e+00,1.8248201769e+00
-8.7520000000e+00,1.8243646893e+00
-8.7480000000e+00,1.8239086594e+00
-8.7440000000e+00,1.8234520899e+00
-8.7400000000e+00,1.8229949835e+00
-8.7360000000e+00,1.8225373429e+00
-8.7320000000e+00,1.8220791709e+00
-8.7280000000e+00,1.8216204701e+00
-8.7240000000e+00,1.8211612435e+00
-8.7200000000e+00,1.8207014936e+00
-8.7160000000e+00,1.8202412234e+00
-8.7120000000e+00,1.8197804356e+00
-8.7080000000e+00,1.8193191331e+00
-8.7040000000e+00,1.8188573186e+00
-8.7000000000e+00,1.8183949951e+00
-8.6960000000e+00,1.8179321653e+00
-8.6920000000e+00,1.8174688323e+00
-8.6880000000e+00,1.8170049987e+00
-8.6840000000e+00,1.8165406677e+00
-8.6800000000e+00,1.8160758420e+00
-8.6760000000e+00,1.8156105247e+00
-8.6720000000e+00,1.8151447186e+00
-8.6680000000e+00,1.8146784267e+00
-8.6640000000e+00,1.8142116521e+00
-8.6600000000e+00,1.8137443976e+00
-8.6560000000e+00,1.8132766663e+00
-8.6520000000e+00,1.8128084613e+00
-8.6480000000e+00,1.8123397855e+00
-8.6440000000e+00,1.8118706419e+00
-8.6400000000e+00,1.8114010338e+00
-8.6360000000e+00,1.8109309640e+00
-8.6320000000e+00,1.8104604358e+00
-8.6280000000e+00,1.8099894521e+00
-8.6240000000e+00,1.8095180162e+00
-8.6200000000e+00,1.8090461311e+00
-8.6160000000e+00,1.8085738000e+00
-8.6120000000e+00,1.8081010260e+00
-8.6080000000e+00,1.8076278123e+00
-8.6040000000e+00,1.8071541621e+00
-8.6000000000e+00,1.8066800785e+00
-8.5960000000e+00,1.8062055648e+00
-8.5920000000e+00,1.8057306242e+00
-8.5880000000e+00,1.8052552599e+00
-8.5840000000e+00,1.8047794752e+00
-8.5800000000e+00,1.8043032732e+00
-8.5760000000e+00,1.8038266573e+00
-8.5720000000e+00,1.8033496308e+00
-8.5680000000e+00,1.8028721969e+00
-8.5640000000e+00,1.8023943589e+00
-8.5600000000e+00,1.8019161202e+00
-8.5560000000e+00,1.8014374840e+00
-8.5520000000e+00,1.8009584538e+00
-8.5480000000e+00,1.8004790328e+00
-8.5440000000e+00,1.7999992245e+00
-8.5400000000e+00,1.7995190322e+00
-8.5360000000e+00,1.7990384592e+00
-8.5320000000e+00,1.7985575091e+00
-8.5280000000e+00,1.7980761851e+00
-8.5240000000e+00,1.7975944907e+00
-8.5200000000e+00,1.7971124294e+00
-8.5160000000e+00,1.7966300046e+00
-8.5120000000e+00,1.7961472197e+00
-8.5080000000e+00,1.7956640782e+00
-8.5040000000e+00,1.7951805835e+00
-8.5000000000e+00,1.7946967392e+00
-8.4960000000e+00,1.7942125488e+00
-8.4920000000e+00,1.7937280157e+00
-8.4880000000e+00,1.7932431435e+00
-8.4840000000e+00,1.7927579357e+00
-8.4800000000e+00,1.7922723959e+00
-8.4760000000e+00,1.7917865275e+00
-8.4720000000e+00,1.7913003342e+00
-8.4680000000e+00,1.7908138194e+00
-8.4640000000e+00,1.7903269869e+00
-8.4600000000e+00,1.7898398401e+00
-8.4560000000e+00,1.7893523827e+00
-8.4520000000e+00,1.7888646183e+00
-8.4480000000e+00,1.7883765505e+00
-8.4440000000e+00,1.7878881829e+00
-8.4400000000e+00,1.7873995191e+00
-8.4360000000e+00,1.7869105629e+00
-8.4320000000e+00,1.7864213178e+00
-8.4280000000e+00,1.7859317874e+00
-8.4240000000e+00,1.7854419756e+00
-8.4200000000e+00,1.7849518859e+00
-8.4160000000e+00,1.7844615221e+00
-8.4120000000e+00,1.7839708878e+00
-8.4080000000e+00,1.7834799868e+00
-8.4040000000e+00,1.7829888227e+00
-8.4000000000e+00,1.7824973993e+00
-8.3960000000e+00,1.7820057203e+00
-8.3920000000e+00,1.7815137894e+00
-8.3880000000e+00,1.7810216105e+00
-8.3840000000e+00,1.7805291872e+00
-8.3800000000e+00,1.7800365232e+00
-8.3760000000e+00,1.7795436225e+00
-8.3720000000e+00,1.7790504887e+00
-8.3680000000e+00,1.7785571256e+00
-8.3640000000e+00,1.7780635371e+00
-8.3600000000e+00,1.7775697268e+00
-8.3560000000e+00,1.7770756987e+00
-8.3520000000e+00,1.7765814565e+00
-8.3480000000e+00,1.7760870040e+00
-8.3440000000e+00,1.7755923452e+00
-8.3400000000e+00,1.7750974837e+00
-8.3360000000e+00,1.7746024234e+00
-8.3320000000e+00,1.7741071683e+00
-8.3280000000e+00,1.7736117220e+00
-8.3240000000e+00,1.7731160886e+00
-8.3200000000e+00,1.7726202718e+00
-8.3160000000e+00,1.7721242755e+00
-8.3120000000e+00,1.7716281036e+00
-8.3080000000e+00,1.7711317599e+00
-8.3040000000e+00,1.7706352484e+00
-8.3000000000e+00,1.7701385730e+00
-8.2960000000e+00,1.7696417374e+00
-8.2920000000e+00,1.7691447457e+00
-8.2880000000e+00,1.7686476018e+00
-8.2840000000e+00,1.7681503094e+00
-8.2800000000e+00,1.7676528727e+00
-8.2760000000e+00,1.7671552954e+00
-8.2720000000e+00,1.7666575814e+00
-8.2680000000e+00,1.7661597349e+00
-8.2640000000e+00,1.7656617595e+00
-8.2600000000e+00,1.7651636594e+00
-8.2560000000e+00,1.7646654384e+00
-8.2520000000e+00,1.7641671004e+00
-8.2480000000e+00,1.7636686495e+00
-8.2440000000e+00,1.7631700896e+00
-8.2400000000e+00,1.7626714246e+00
-8.2360000000e+00,1.7621726584e+00
-8.2320000000e+00,1.7616737951e+00
-8.2280000000e+00,1.7611748386e+00
-8.2240000000e+00,1.7606757929e+00
-8.2200000000e+00,1.7601766619e+00
-8.2160000000e+00,1.7596774496e+00
-8.2120000000e+00,1.7591781600e+00
-8.2080000000e+00,1.7586787971e+00
-8.2040000000e+00,1.7581793648e+00
-8.2000000000e+00,1.7576798672e+00
-8.1960000000e+00,1.7571803081e+00
-8.1920000000e+00,1.7566806917e+00
-8.1880000000e+00,1.7561810218e+00
-8.1840000000e+00,1.7556813025e+00
-8.1800000000e+00,1.7551815378e+00
-8.1760000000e+00,1.7546817316e+00
-8.1720000000e+00,1.7541818880e+00
-8.1680000000e+00,1.7536820110e+00
-8.1640000000e+00,1.7531821044e+00
-8.1600000000e+00,1.7526821724e+00
-8.1560000000e+00,1.7521822190e+00
-8.1520000000e+00,1.7516822480e+00
-8.1480000000e+00,1.7511822636e+00
-8.1440000000e+00,1.7506822698e+00
-8.1400000000e+00,1.7501822705e+00
-8.1360000000e+00,1.7496822697e+00
-8.1320000000e+00,1.7491822714e+00
-8.1280000000e+00,1.7486822797e+00
-8.1240000000e+00,1.7481822985e+00
-8.1200000000e+00,1.7476823318e+00
-8.1160000000e+00,1.7471823836e+00
-8.1120000000e+00,1.7466824580e+00
-8.1080000000e+00,1.7461825589e+00
-8.1040000000e+00,1.7456826904e+00
-8.1000000000e+00,1.7451828563e+00
-8.0960000000e+00,1.7446830608e+00
-8.0920000000e+00,1.7441833078e+00
-8.0880000000e+00,1.7436836012e+00
-8.0840000000e+00,1.7431839452e+00
-8.0800000000e+00,1.7426843436e+00
-8.0760000000e+00,1.7421848005e+00
-8.0720000000e+00,1.7416853198e+00
-8.0680000000e+00,1.7411859056e+00
-8.0640000000e+00,1.7406865618e+00
-8.0600000000e+00,1.7401872924e+00
-8.0560000000e+00,1.7396881013e+00
-8.0520000000e+00,1.7391889926e+00
-8.0480000000e+00,1.7386899703e+00
-8.0440000000e+00,1.7381910381e+00
-8.0400000000e+00,1.7376922003e+00
-8.0360000000e+00,1.7371934606e+00
-8.0320000000e+00,1.7366948232e+00
-8.0280000000e+00,1.7361962918e+00
-8.0240000000e+00,1.7356978706e+00
-8.0200000000e+00,1.7351995633e+00
-8.0160000000e+00,1.7347013741e+00
-8.0120000000e+00,1.7342033067e+00
-8.0080000000e+00,1.7337053653e+00
-8.0040000000e+00,1.7332075536e+00
-8.0000000000e+00,1.7327098756e+00
-7.9960000000e+00,1.7322123353e+00
-7.9920000000e+00,1.7317149365e+00
-7.9880000000e+00,1.7312176833e+00
-7.9840000000e+00,1.7307205794e+00
-7.9800000000e+00,1.7302236288e+00
-7.9760000000e+00,1.7297268355e+00
-7.9720000000e+00,1.7292302032e+00
-7.9680000000e+00,1.7287337360e+00
-7.9640000000e+00,1.7282374376e+00
-7.9600000000e+00,1.7277413120e+00
-7.9560000000e+00,1.7272453631e+00
-7.9520000000e+00,1.7267495946e+00
-7.9480000000e+00,1.7262540106e+00
-7.9440000000e+00,1.7257586148e+00
-7.9400000000e+00,1.7252634110e+00
-7.9360000000e+00,1.7247684033e+00
-7.9320000000e+00,1.7242735953e+00
-7.9280000000e+00,1.7237789909e+00
-7.9240000000e+00,1.7232845940e+00
-7.9200000000e+00,1.7227904083e+00
-7.9160000000e+00,1.7222964377e+00
-7.9120000000e+00,1.7218026860e+00
-7.9080000000e+00,1.7213091571e+00
-7.9040000000e+00,1.7208158546e+00
-7.9000000000e+00,1.7203227823e+00
-7.8960000000e+00,1.7198299442e+00
-7.8920000000e+00,1.7193373439e+00
-7.8880000000e+00,1.7188449851e+00
-7.8840000000e+00,1.7183528717e+00
-7.8800000000e+00,1.7178610075e+00
-7.8760000000e+00,1.7173693960e+00
-7.8720000000e+00,1.7168780412e+00
-7.8680000000e+00,1.7163869467e+00
-7.8640000000e+00,1.7158961162e+00
-7.8600000000e+00,1.7154055534e+00
-7.8560000000e+00,1.7149152621e+00
-7.8520000000e+00,1.7144252459e+00
-7.8480000000e+00,1.7139355085e+00
-7.8440000000e+00,1.7134460537e+00
-7.8400000000e+00,1.7129568850e+00
-7.8360000000e+00,1.7124680061e+00
-7.8320000000e+00,1.7119794207e+00
-7.8280000000e+00,1.7114911324e+00
-7.8240000000e+00,1.7110031448e+00
-7.8200000000e+00,1.7105154616e+00
-7.8160000000e+00,1.7100280864e+00
-7.8120000000e+00,1.7095410228e+00
-7.8080000000e+00,1.7090542744e+00
-7.8040000000e+00,1.7085678447e+00
-7.8000000000e+00,1.7080817374e+00
-7.7960000000e+00,1.7075959560e+00
-7.7920000000e+00,1.7071105040e+00
-7.7880000000e+00,1.7066253850e+00
-7.7840000000e+00,1.7061406026e+00
-7.7800000000e+00,1.7056561602e+00
-7.7760000000e+00,1.7051720614e+00
-7.7720000000e+00,1.7046883097e+00
-7.7680000000e+00,1.7042049085e+00
-7.7640000000e+00,1.7037218614e+00
-7.7600000000e+00,1.7032391718e+00
-7.7560000000e+00,1.7027568432e+00
-7.7520000000e+00,1.7022748791e+00
-7.7480000000e+00,1.7017932828e+00
-7.7440000000e+00,1.7013120578e+00
-7.7400000000e+00,1.7008312075e+00
-7.7360000000e+00,1.7003507353e+00
-7.7320000000e+00,1.6998706447e+00
-7.7280000000e+00,1.6993909389e+00
-7.7240000000e+00,1.6989116214e+00
-7.7200000000e+00,1.6984326955e+00
-7.7160000000e+00,1.6979541646e+00
-7.7120000000e+00,1.6974760320e+00
-7.7080000000e+00,1.6969983010e+00
-7.7040000000e+00,1.6965209750e+00
-7.7000000000e+00,1.6960440572e+00
-7.6960000000e+00,1.6955675509e+00
-7.6920000000e+00,1.6950914594e+00
-7.6880000000e+00,1.6946157860e+00
-7.6840000000e+00,1.6941405339e+00
-7.6800000000e+00,1.6936657064e+00
-7.6760000000e+00,1.6931913066e+00
-7.6720000000e+00,1.6927173378e+00
-7.6680000000e+00,1.6922438032e+00
-7.6640000000e+00,1.6917707059e+00
-7.6600000000e+00,1.6912980492e+00
-7.6560000000e+00,1.6908258362e+00
-7.6520000000e+00,1.6903540701e+00
-7.6480000000e+00,1.6898827539e+00
-7.6440000000e+00,1.6894118909e+00
-7.6400000000e+00,1.6889414840e+00
-7.6360000000e+00,1.6884715365e+00
-7.6320000000e+00,1.6880020514e+00
-7.6280000000e+00,1.6875330317e+00
-7.6240000000e+00,1.6870644806e+00
-7.6200000000e+00,1.6865964010e+00
-7.6160000000e+00,1.6861287960e+00
-7.6120000000e+00,1.6856616686e+00
-7.6080000000e+00,1.6851950218e+00
-7.6040000000e+00,1.6847288586e+00
-7.6000000000e+00,1.6842631819e+00
-7.5960000000e+00,1.6837979948e+00
-7.5920000000e+00,1.6833333001e+00
-7.5880000000e+00,1.6828691008e+00
-7.5840000000e+00,1.6824053998e+00
-7.5800000000e+00,1.6819422000e+00
-7.5760000000e+00,1.6814795043e+00
-7.5720000000e+00,1.6810173156e+00
-7.5680000000e+00,1.6805556367e+00
-7.5640000000e+00,1.6800944704e+00
-7.5600000000e+00,1.6796338197e+00
-7.5560000000e+00,1.6791736873e+00
-7.5520000000e+00,1.6787140760e+00
-7.5480000000e+00,1.6782549886e+00
-7.5440000000e+00,1.6777964278e+00
-7.5400000000e+00,1.6773383965e+00
-7.5360000000e+00,1.6768808973e+00
-7.5320000000e+00,1.6764239331e+00
-7.5280000000e+00,1.6759675064e+00
-7.5240000000e+00,1.6755116201e+00
-7.5200000000e+00,1.6750562767e+00
-7.5160000000e+00,1.6746014790e+00
-7.5120000000e+00,1.6741472296e+00
-7.5080000000e+00,1.6736935312e+00
-7.5040000000e+00,1.6732403863e+00
-7.5000000000e+00,1.6727877975e+00
-7.4960000000e+00,1.6723357675e+00
-7.4920000000e+00,1.6718842989e+00
-7.4880000000e+00,1.6714333941e+00
-7.4840000000e+00,1.6709830558e+00
-7.4800000000e+00,1.6705332864e+00
-7.4760000000e+00,1.6700840885e+00
-7.4720000000e+00,1.6696354646e+00
-7.4680000000e+00,1.6691874172e+00
-7.4640000000e+00,1.6687399487e+00
-7.4600000000e+00,1.6682930615e+00
-7.4560000000e+00,1.6678467582e+00
-7.4520000000e+00,1.6674010411e+00
-7.4480000000e+00,1.6669559127e+00
-7.4440000000e+00,1.6665113752e+00
-7.4400000000e+00,1.6660674312e+00
-7.4360000000e+00,1.6656240829e+00
-7.4320000000e+00,1.6651813327e+00
-7.4280000000e+00,1.6647391830e+00
-7.4240000000e+00,1.6642976359e+00
-7.4200000000e+00,1.6638566939e+00
-7.4160000000e+00,1.6634163592e+00
-7.4120000000e+00,1.6629766341e+00
-7.4080000000e+00,1.6625375208e+00
-7.4040000000e+00,1.6620990215e+00
-7.4000000000e+00,1.6616611385e+00
-7.3960000000e+00,1.6612238739e+00
-7.3920000000e+00,1.6607872299e+00
-7.3880000000e+00,1.6603512087e+00
-7.3840000000e+00,1.6599158125e+00
-7.3800000000e+00,1.6594810434e+00
-7.3760000000e+00,1.6590469034e+00
-7.3720000000e+00,1.6586133948e+00
-7.3680000000e+00,1.6581805195e+00
-7.3640000000e+00,1.6577482797e+00
-7.3600000000e+00,1.6573166774e+00
-7.3560000000e+00,1.6568857146e+00
-7.3520000000e+00,1.6564553933e+00
-7.3480000000e+00,1.6560257156e+00
-7.3440000000e+00,1.6555966835e+00
